,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
218,D.J. Moore,CB,192.0,4.56,39.5,118.0,7.01,4.28,6.0,119.0,175.26
223,Captain Munnerlyn,CB,182.0,4.41,37.5,121.0,7.15,4.2,24.0,216.0,172.72
239,Chris Owens,CB,181.0,4.44,34.5,110.0,6.93,4.16,10.0,90.0,152.4
252,Jerraud Powers,CB,188.0,4.43,36.5,122.0,7.09,4.08,22.0,92.0,175.26
278,Alphonso Smith,CB,193.0,4.47,34.0,125.0,7.09,4.38,16.0,37.0,175.26
280,DeAngelo Smith,CB,194.0,4.5,31.5,109.0,7.27,4.35,2.0,143.0,154.94
282,Sean Smith,CB,214.0,4.47,34.0,119.0,6.92,4.15,27.0,61.0,190.5
297,Morgan Trent,CB,193.0,4.5,38.0,127.0,7.05,4.01,4.0,179.0,185.42000000000002
313,Donald Washington,CB,197.0,4.5,45.0,135.0,6.84,4.2,4.0,102.0,182.88
315,Lardarius Webb,CB,179.0,4.35,36.5,121.0,6.77,4.1,24.0,88.0,152.4
42,Crezdon Butler,CB,191.0,4.43,39.5,121.0,7.08,4.23,0.0,164.0,182.88
70,Chris Cook,CB,212.0,4.45,38.0,132.0,6.88,4.23,9.0,34.0,187.96
98,Dominique Franks,CB,194.0,4.46,33.5,117.0,7.32,4.33,6.0,135.0,154.94
105,Brandon Ghee,CB,192.0,4.37,37.0,127.0,6.75,4.07,3.0,96.0,182.88
119,Joe Haden,CB,193.0,4.52,35.0,125.0,6.94,4.34,38.0,7.0,154.94
137,Kareem Jackson,CB,196.0,4.4,37.5,118.0,6.92,4.14,28.0,20.0,152.4
170,Trevard Lindley,CB,183.0,4.51,38.5,116.0,6.81,4.27,2.0,105.0,154.94
183,Devin McCourty,CB,193.0,4.38,36.0,126.0,6.7,4.07,38.0,27.0,154.94
202,Joshua Moore,CB,188.0,4.5,36.5,122.0,6.74,4.07,0.0,141.0,154.94
207,Jerome Murphy,CB,196.0,4.5,38.0,127.0,6.87,4.05,2.0,65.0,182.88
216,Akwasi Owusu-Ansah,CB,207.0,4.32,35.5,120.0,6.84,4.32,2.0,126.0,182.88
282,Kevin Thomas,CB,192.0,4.41,34.5,126.0,6.82,4.18,4.0,94.0,182.88
283,Syd'Quan Thompson,CB,186.0,4.75,33.0,117.0,6.73,4.26,2.0,225.0,175.26
294,Alterraun Verner,CB,189.0,4.52,32.0,116.0,6.7,4.12,32.0,104.0,152.4
5,Cortez Allen,CB,197.0,4.5,35.5,129.0,6.76,4.01,11.0,128.0,185.42000000000002
8,Prince Amukamara,CB,206.0,4.38,38.0,128.0,6.97,4.08,18.0,19.0,182.88
33,Jalil Brown,CB,204.0,4.52,35.5,116.0,6.85,4.25,2.0,118.0,185.42000000000002
35,Curtis Brown,CB,185.0,4.51,39.5,128.0,6.59,4.0,4.0,95.0,182.88
36,Chykie Brown,CB,190.0,4.49,36.5,120.0,6.5,4.0,7.0,164.0,154.94
39,Brandon Burton,CB,190.0,4.5,32.0,118.0,6.93,4.07,1.0,139.0,182.88
66,Chris Culliver,CB,199.0,4.36,38.5,123.0,6.88,4.08,26.0,80.0,182.88
81,Demarcus Van Dyke,CB,176.0,4.28,33.5,121.0,6.97,4.09,6.0,81.0,185.42000000000002
