,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
107,Trey Flowers,DE,266.0,4.93,36.5,121.0,7.34,4.4,32.0,101.0,187.96
132,Geneo Grissom,OLB,262.0,4.81,37.0,117.0,7.24,4.38,3.0,97.0,190.5
135,Obum Gwacham,DE,246.0,4.72,36.0,121.0,7.28,4.28,3.0,209.0,195.58
143,Eli Harold,OLB,247.0,4.6,35.0,123.0,7.07,4.16,24.0,79.0,190.5
208,Lorenzo Mauldin,OLB,259.0,4.85,32.0,112.0,7.47,4.58,8.0,82.0,193.04
228,Owamagbe Odighizuwa,DE,267.0,4.62,39.0,127.0,7.36,4.19,2.0,74.0,190.5
230,Nate Orchard,DE,250.0,4.8,31.5,115.0,7.28,4.43,9.0,51.0,190.5
264,Ryan Russell,DE,269.0,4.75,32.5,119.0,7.25,4.47,12.0,163.0,193.04
284,Preston Smith,DE,271.0,4.74,34.0,121.0,7.07,4.28,35.0,38.0,195.58
286,Za'Darius Smith,DE,274.0,4.83,29.0,113.0,7.42,4.66,26.0,122.0,193.04
27,Joey Bosa,DE,269.0,4.86,32.0,120.0,6.89,4.21,43.0,3.0,195.58
48,Shilique Calhoun,DE,251.0,4.82,35.0,115.0,6.97,4.25,5.0,75.0,193.04
163,Matt Judon,DE,275.0,4.73,35.0,109.0,7.67,4.52,37.0,146.0,190.5
182,Shaq Lawson,DE,269.0,4.7,33.0,120.0,7.16,4.21,17.0,19.0,190.5
227,Yannick Ngakoue,DE,252.0,4.75,34.5,118.0,7.35,4.5,41.0,69.0,187.96
228,Dadi Nicolas,DE,235.0,4.74,41.0,116.0,7.04,4.38,2.0,203.0,190.5
237,Emmanuel Ogbah,DE,273.0,4.63,35.5,121.0,7.26,4.5,28.0,32.0,193.04
287,Noah Spence,DE,251.0,4.8,35.0,121.0,7.21,4.35,10.0,39.0,187.96
