,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
188,Keshawn Martin,WR,188.0,4.42,39.5,122.0,6.85,4.13,7.0,121.0,154.94
200,Marvin McNutt,WR,216.0,4.48,37.0,122.0,7.15,4.07,0.0,194.0,190.5
238,DeVier Posey,WR,211.0,4.39,36.5,123.0,7.03,4.15,4.0,68.0,187.96
247,Brian Quick,WR,220.0,4.5,34.0,119.0,7.1,4.23,11.0,33.0,190.5
250,Rueben Randle,WR,210.0,4.55,31.0,121.0,6.99,4.36,44.0,63.0,190.5
268,Mohamed Sanu,WR,211.0,4.62,36.0,126.0,6.88,4.22,26.0,83.0,185.42000000000002
313,Jordan White,WR,208.0,4.63,35.0,119.0,6.84,4.13,0.0,244.0,182.88
324,Jarius Wright,WR,182.0,4.39,38.0,120.0,6.93,4.03,18.0,118.0,152.4
325,Kendall Wright,WR,196.0,4.49,38.5,121.0,6.93,4.18,26.0,20.0,152.4
14,Stedman Bailey,WR,193.0,4.52,34.5,117.0,6.81,4.09,14.0,92.0,152.4
34,Josh Boyce,WR,206.0,4.38,34.0,131.0,6.68,4.1,2.0,102.0,154.94
107,Chris Harper,WR,229.0,4.55,35.5,116.0,6.89,4.39,0.0,123.0,185.42000000000002
157,Tavarres King,WR,189.0,4.47,36.5,123.0,6.91,4.33,2.0,161.0,182.88
220,Quinton Patton,WR,204.0,4.53,33.0,118.0,6.91,4.01,14.0,128.0,182.88
240,Denard Robinson,WR,199.0,4.43,36.5,123.0,7.09,4.22,16.0,135.0,152.4
246,Ace Sanders,WR,173.0,4.58,32.0,117.0,6.81,4.37,6.0,101.0,170.18
311,Markus Wheaton,WR,189.0,4.45,37.0,120.0,6.8,4.02,13.0,79.0,154.94
323,Terrance Williams,WR,208.0,4.52,32.5,119.0,7.01,4.32,31.0,74.0,187.96
327,Marquess Wilson,WR,194.0,4.51,34.5,122.0,6.65,4.33,12.0,236.0,190.5
334,Robert Woods,WR,201.0,4.51,33.5,117.0,7.15,4.47,28.0,41.0,182.88
0,Jared Abbrederis,WR,195.0,4.5,30.5,117.0,6.8,4.08,2.0,176.0,185.42000000000002
1,Davante Adams,WR,212.0,4.56,39.5,123.0,6.82,4.3,37.0,53.0,185.42000000000002
6,Dri Archer,WR,173.0,4.26,38.0,122.0,6.86,4.06,0.0,97.0,172.72
14,Kelvin Benjamin,WR,240.0,4.61,32.5,119.0,7.33,4.39,27.0,28.0,195.58
37,John Brown,WR,179.0,4.34,36.5,119.0,6.91,4.12,27.0,91.0,152.4
44,Michael Campanaro,WR,192.0,4.46,39.0,122.0,6.77,4.01,8.0,218.0,175.26
59,Brandin Cooks,WR,189.0,4.33,36.0,120.0,6.76,3.81,51.0,20.0,152.4
81,Bruce Ellington,WR,197.0,4.45,39.5,120.0,6.69,3.95,0.0,106.0,175.26
85,Shaquelle Evans,WR,213.0,4.51,34.5,122.0,7.07,4.21,0.0,115.0,185.42000000000002
114,Ryan Grant,WR,199.0,4.64,35.5,119.0,6.68,4.11,10.0,142.0,182.88
124,Matt Hazel,WR,198.0,4.5,36.5,118.0,7.08,4.2,0.0,190.0,185.42000000000002
127,Robert Herron,WR,193.0,4.48,35.5,125.0,6.84,4.27,0.0,185.0,175.26
149,Jeff Janis,WR,219.0,4.42,37.5,123.0,6.64,3.98,4.0,236.0,190.5
166,"Odell Beckham, Jr.",WR,198.0,4.38,38.5,122.0,6.69,3.94,45.0,12.0,154.94
206,Jordan Matthews,WR,212.0,4.46,35.5,120.0,6.95,4.18,25.0,42.0,190.5
219,Donte Moncrief,WR,221.0,4.4,39.5,132.0,7.02,4.3,20.0,90.0,187.96
232,Kevin Norwood,WR,198.0,4.48,33.0,121.0,6.68,4.32,3.0,123.0,187.96
250,Tevin Reese,WR,163.0,4.46,41.0,132.0,6.63,4.18,0.0,240.0,152.4
263,Allen Robinson,WR,220.0,4.6,39.0,127.0,7.0,4.0,27.0,61.0,190.5
294,Devin Street,WR,198.0,4.55,37.0,124.0,6.89,4.01,3.0,146.0,190.5
323,Sammy Watkins,WR,211.0,4.43,34.0,126.0,6.95,4.34,33.0,4.0,185.42000000000002
4,Mario Alford,WR,180.0,4.43,34.0,121.0,6.64,4.07,0.0,238.0,172.72
48,Kaelin Clay,WR,195.0,4.51,33.0,113.0,6.97,4.26,5.0,184.0,152.4
