,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
19,Ron Brace,DT,330.0,5.48,28.0,99.0,8.15,4.73,12.0,40.0,190.5
108,Jarron Gilbert,DE,288.0,4.81,35.5,119.0,7.7,4.56,0.0,68.0,195.58
134,Ziggy Hood,DT,300.0,4.83,33.0,108.0,7.5,4.55,30.0,32.0,190.5
141,Corvey Irvin,DT,301.0,4.96,24.5,97.0,7.44,4.73,2.0,93.0,190.5
144,Tyson Jackson,DE,296.0,4.94,28.5,102.0,7.64,4.8,27.0,3.0,193.04
167,Terrance Knighton,DT,321.0,4.93,28.0,103.0,7.9,4.78,30.0,72.0,190.5
183,Alex Magee,DT,298.0,4.82,29.5,103.0,7.52,4.55,5.0,67.0,190.5
210,Roy Miller,DT,310.0,4.93,32.0,103.0,8.01,4.74,23.0,81.0,185.42000000000002
253,Myron Pryor,DT,319.0,5.03,30.0,107.0,8.16,4.75,6.0,207.0,182.88
257,B.J. Raji,DT,337.0,5.12,32.0,103.0,7.9,4.69,30.0,9.0,185.42000000000002
271,Darell Scott,DT,312.0,4.92,30.5,107.0,8.28,4.84,10.0,103.0,190.5
5,Tyson Alualu,DE,295.0,4.87,35.5,116.0,7.15,4.43,30.0,10.0,187.96
13,Geno Atkins,DT,293.0,4.75,33.0,117.0,7.33,4.43,49.0,120.0,185.42000000000002
62,Terrence Cody,DT,354.0,5.71,20.5,90.0,8.19,5.03,13.0,57.0,193.04
89,Carlos Dunlap,DE,277.0,4.68,31.5,111.0,7.21,4.61,28.0,54.0,198.12
123,Greg Hardy,DE,281.0,4.82,35.0,117.0,7.25,4.65,28.0,175.0,193.04
131,Lamarr Houston,DT,305.0,4.84,33.5,114.0,7.61,4.71,31.0,44.0,190.5
151,Linval Joseph,DT,328.0,5.09,30.0,100.0,8.12,4.71,30.0,46.0,193.04
184,Gerald McCoy,DT,295.0,5.04,30.5,114.0,7.32,4.48,41.0,3.0,193.04
198,Earl Mitchell,DT,296.0,4.75,28.5,107.0,7.68,4.55,15.0,81.0,187.96
208,Mike Neal,DT,294.0,4.87,33.0,113.0,7.53,4.53,10.0,56.0,190.5
