,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
73,Demario Davis,OLB,235.0,4.49,38.5,124.0,7.19,4.28,35.0,77.0,187.96
88,Darius Fleming,OLB,245.0,4.71,33.5,114.0,7.03,4.28,3.0,165.0,187.96
138,Bruce Irvin,OLB,245.0,4.41,33.5,123.0,6.7,4.03,32.0,15.0,190.5
154,James-Michael Johnson,ILB,241.0,4.6,37.0,124.0,7.34,4.37,11.0,120.0,185.42000000000002
171,Luke Kuechly,ILB,242.0,4.58,38.0,123.0,6.92,4.12,67.0,9.0,190.5
183,Terrell Manning,OLB,237.0,4.71,32.5,114.0,7.18,4.43,0.0,163.0,187.96
184,Brandon Marshall,OLB,242.0,4.72,30.5,108.0,7.05,4.09,22.0,142.0,185.42000000000002
201,Caleb McSurdy,ILB,245.0,4.82,30.0,110.0,7.26,4.28,0.0,222.0,185.42000000000002
278,Sean Spence,OLB,231.0,4.66,33.5,119.0,7.46,4.28,13.0,86.0,154.94
284,Nathan Stupar,OLB,241.0,4.65,31.0,116.0,6.84,4.28,1.0,230.0,187.96
314,Tahir Whitehead,OLB,233.0,4.62,37.0,124.0,7.14,4.37,21.0,138.0,185.42000000000002
25,Steve Beauharnais,ILB,240.0,4.84,33.0,118.0,6.99,4.2,0.0,235.0,185.42000000000002
33,Jon Bostic,OLB,245.0,4.59,32.5,118.0,6.99,4.24,21.0,50.0,185.42000000000002
94,Zaviar Gooden,OLB,234.0,4.47,34.0,131.0,6.71,4.18,5.0,97.0,185.42000000000002
102,Khaseem Greene,OLB,241.0,4.71,30.0,116.0,7.58,4.2,6.0,117.0,185.42000000000002
113,Brandon Hepburn,ILB,240.0,4.68,32.0,124.0,7.4,4.55,0.0,245.0,187.96
118,DeVonte Holloman,OLB,243.0,4.76,33.0,113.0,7.3,4.26,2.0,185.0,185.42000000000002
204,Barkevious Mingo,OLB,241.0,4.58,37.0,128.0,6.84,4.39,17.0,6.0,193.04
209,Sio Moore,OLB,245.0,4.65,38.0,127.0,7.49,4.31,18.0,66.0,185.42000000000002
214,Alec Ogletree,OLB,242.0,4.7,33.5,122.0,7.16,4.39,43.0,30.0,187.96
283,Manti Te'o,ILB,241.0,4.82,33.0,113.0,7.13,4.27,20.0,38.0,185.42000000000002
12,Lamin Barrow,ILB,237.0,4.64,35.0,123.0,7.24,4.35,6.0,156.0,185.42000000000002
23,Chris Borland,ILB,248.0,4.83,31.0,114.0,7.18,4.27,12.0,77.0,154.94
35,Preston Brown,ILB,251.0,4.86,33.0,116.0,6.98,4.26,34.0,73.0,185.42000000000002
130,Anthony Hitchens,OLB,240.0,4.74,31.5,116.0,7.15,4.45,30.0,119.0,182.88
224,C.J. Mosley,ILB,234.0,4.65,35.0,118.0,7.3,4.4,65.0,17.0,187.96
233,Kyle Van Noy,OLB,243.0,4.71,32.5,112.0,7.22,4.2,12.0,40.0,190.5
241,Kevin Pierre-Louis,OLB,232.0,4.51,39.0,128.0,6.92,4.02,7.0,132.0,182.88
275,Ryan Shazier,OLB,237.0,4.58,42.0,130.0,6.91,4.21,56.0,15.0,185.42000000000002
308,Jordan Tripp,OLB,234.0,4.67,37.5,120.0,6.89,3.96,4.0,171.0,190.5
334,Avery Williamson,ILB,246.0,4.66,30.5,120.0,7.11,4.07,36.0,151.0,185.42000000000002
338,Jordan Zumwalt,OLB,235.0,4.76,33.0,116.0,6.99,4.25,0.0,192.0,193.04
3,Kwon Alexander,OLB,227.0,4.55,36.0,121.0,7.14,4.2,29.0,124.0,185.42000000000002
10,Stephone Anthony,ILB,243.0,4.56,37.0,122.0,7.07,4.03,11.0,31.0,190.5
16,Vic Beasley,OLB,246.0,4.53,41.0,130.0,6.91,4.15,34.0,8.0,190.5
137,Bryce Hager,ILB,234.0,4.6,35.0,117.0,7.15,4.36,7.0,224.0,185.42000000000002
151,Ben Heeney,ILB,231.0,4.59,33.5,120.0,6.68,4.0,9.0,140.0,182.88
153,Amarlo Herrera,ILB,244.0,4.83,32.0,111.0,7.35,4.27,0.0,207.0,185.42000000000002
156,Jordan Hicks,OLB,236.0,4.68,38.0,124.0,6.78,4.15,29.0,84.0,185.42000000000002
215,Benardrick McKinney,ILB,246.0,4.66,40.5,121.0,7.21,4.27,43.0,43.0,193.04
248,Hayes Pullard,ILB,240.0,4.78,31.0,110.0,7.07,4.39,18.0,219.0,182.88
258,Edmond Robinson,OLB,245.0,4.61,37.0,121.0,7.49,4.38,6.0,232.0,190.5
265,Jake Ryan,OLB,240.0,4.65,34.5,120.0,7.11,4.2,30.0,129.0,187.96
294,Shaq Thompson,OLB,228.0,4.64,33.5,117.0,6.99,4.08,28.0,25.0,182.88
320,Damien Wilson,ILB,245.0,4.77,37.0,119.0,7.21,4.2,20.0,127.0,182.88
25,Devante Bond,OLB,235.0,4.7,37.5,121.0,7.07,4.36,4.0,183.0,185.42000000000002
34,Kentrell Brothers,OLB,245.0,4.89,28.5,110.0,6.99,4.11,8.0,160.0,182.88
112,B.J. Goodson,OLB,242.0,4.69,34.5,118.0,7.05,4.51,21.0,109.0,185.42000000000002
176,Nick Kwiatkoski,ILB,243.0,4.73,32.0,120.0,7.16,4.22,21.0,113.0,187.96
183,Darron Lee,OLB,232.0,4.47,35.5,133.0,7.12,4.2,21.0,20.0,185.42000000000002
204,Blake Martinez,ILB,237.0,4.71,28.5,113.0,6.98,4.2,42.0,131.0,187.96
206,Tyler Matakevich,OLB,238.0,4.81,31.0,112.0,7.19,4.5,6.0,246.0,182.88
269,Joe Schobert,OLB,244.0,4.76,33.5,111.0,7.11,4.3,35.0,99.0,185.42000000000002
315,Nick Vigil,ILB,239.0,4.72,31.5,115.0,6.73,4.0,21.0,87.0,187.96
